	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
mercedes-benz-eqa-300-4matic	1	1	1	1	0
mercedes-benz-eqa-350-4matic	1	1	1	1	0
mercedes-benz-eqa-350-4matic	1	1	1	1	0
mercedes-benz-eqa-350-4matic	1	1	1	1	0
mercedes-benz-eqa-350-4matic	1	1	1	1	0
mercedes-benz-eqb-250	1	1	1	0	0
mercedes-benz-eqb-250	1	1	1	0	0
mercedes-benz-eqb-250	1	1	1	0	0
mercedes-benz-eqb-250	1	1	1	0	0
mercedes-benz-eqb-300-4matic	1	1	1	0	0
mercedes-benz-eqb-300-4matic	1	1	1	0	0
mercedes-benz-eqb-300-4matic	1	1	1	0	0
mercedes-benz-eqb-300-4matic	1	1	1	0	0
mercedes-benz-eqb-350-4matic	1	1	1	0	0
mercedes-benz-eqb-350-4matic	1	1	1	0	0
mercedes-benz-eqb-350-4matic	1	1	1	0	0
mercedes-benz-eqb-350-4matic	1	1	1	0	0
Mercedes-Benz-EQC-400-4MATIC	1	1	1	1	0
Mercedes-Benz-EQC-400-4MATIC	1	1	1	1	0
Mercedes-Benz-EQC-400-4MATIC	1	1	1	1	0
Mercedes-Benz-EQC-400-4MATIC	1	1	1	1	0
Mercedes-Benz-EQC-400-4MATIC	1	1	1	1	0
mercedes-benz-eqs-350	1	1	1	1	0
mercedes-benz-eqs-350	1	1	1	1	0
mercedes-benz-eqs-450-4matic	1	1	1	1	0
mercedes-benz-eqs-450-4matic	1	1	1	1	0
mercedes-benz-eqs-450-4matic	1	1	1	1	0
mercedes-benz-eqs-450plus	1	1	1	1	0
mercedes-benz-eqs-450plus	1	1	1	1	0
mercedes-benz-eqs-500-4matic	1	1	1	1	0
mercedes-benz-eqs-500-4matic	1	1	1	1	0
mercedes-benz-eqs-500-4matic	1	1	1	1	0
mercedes-benz-eqs-580-4matic	1	1	1	1	0
mercedes-benz-eqs-580-4matic	1	1	1	1	0
mercedes-benz-eqs-580-4matic	1	1	1	1	0
mercedes-benz-eqs-suv-450plus	1	1	1	0	0
mercedes-benz-eqs-suv-450plus	1	1	1	0	0
mercedes-benz-eqs-suv-450plus	1	1	1	0	0
mercedes-benz-eqs-suv-450plus	1	1	1	0	0
mercedes-eqe-350	1	1	1	1	0
mercedes-eqe-350	1	1	1	1	0
mercedes-eqe-43-4matic	1	1	1	1	0
mercedes-eqe-43-4matic	1	1	1	1	0
mercedes-eqe-43-4matic	1	1	1	1	0
mercedes-eqs-53-4matic-plus	1	1	1	1	0
mercedes-eqs-53-4matic-plus	1	1	1	1	0
mercedes-eqs-53-4matic-plus	1	1	1	1	0
